order,image,protein,exact_predictTop1,countSimilarityTop1,exact_predictTop3,countSimilarityTop3,exact_predictTop5,countSimilarityTop5,exact_predictTop10,countSimilarityTop10,exact_predictTop20,countSimilarityTop20,exact_predictTop50,countSimilarityTop50
1,7UZM/1.png,7UZM,True,True,True,True,True,True,True,True,True,True,True,True
2,7UZM/2.png,7UZM,False,False,True,True,True,True,True,True,True,True,True,True
3,7UZM/3.png,7UZM,False,False,True,True,True,True,True,True,True,True,True,True
4,8DNM/1.png,8DNM,False,False,True,True,True,True,True,True,True,True,True,True
5,8DNM/2.png,8DNM,False,False,True,True,True,True,True,True,True,True,True,True
6,8DNM/3.png,8DNM,False,False,True,True,True,True,True,True,True,True,True,True
7,8DNM/4.png,8DNM,False,False,True,True,True,True,True,True,True,True,True,True
8,8DNM/5.png,8DNM,True,True,True,True,True,True,True,True,True,True,True,True
9,8DNM/6.png,8DNM,False,False,False,False,False,False,False,False,False,False,False,False
10,8DNM/7.png,8DNM,False,False,False,False,False,False,False,False,False,False,True,True
11,8DNM/8.png,8DNM,False,False,False,False,True,True,True,True,True,True,True,True
12,8DNM/9.png,8DNM,False,False,False,False,False,False,False,False,False,False,False,False
13,8DNM/10.png,8DNM,False,False,False,False,False,False,False,False,False,False,True,True
14,8DNM/11.png,8DNM,False,False,False,False,False,False,True,True,True,True,True,True
15,8DNM/12.png,8DNM,False,False,True,True,True,True,True,True,True,True,True,True
16,8DNM/13.png,8DNM,False,False,True,True,True,True,True,True,True,True,True,True
17,8DNM/14.png,8DNM,False,False,True,True,True,True,True,True,True,True,True,True
18,8DNM/15.png,8DNM,False,False,False,False,False,False,False,False,False,False,True,True
19,8DNM/16.png,8DNM,False,False,True,True,True,True,True,True,True,True,True,True
20,8DNM/17.png,8DNM,False,False,True,True,True,True,True,True,True,True,True,True
21,8DNM/18.png,8DNM,False,False,False,False,False,False,False,False,False,False,False,False
22,8DNM/19.png,8DNM,False,False,False,False,False,False,False,False,False,False,False,False
23,8DNM/20.png,8DNM,False,False,False,False,False,False,False,False,False,False,False,False
24,8DNM/21.png,8DNM,False,False,False,False,False,False,False,False,False,False,True,True
25,8DNM/22.png,8DNM,True,True,True,True,True,True,True,True,True,True,True,True
26,8DNM/23.png,8DNM,True,True,True,True,True,True,True,True,True,True,True,True
27,8DNM/24.png,8DNM,False,False,False,False,False,False,False,False,False,False,False,False
28,8DNM/25.png,8DNM,False,False,False,False,False,False,False,False,False,False,True,True
29,8DNM/26.png,8DNM,False,False,False,False,False,False,False,False,False,False,False,False
30,8DNM/27.png,8DNM,False,False,False,False,False,False,False,False,False,False,False,False
31,8DNM/28.png,8DNM,False,False,False,False,False,False,False,False,True,True,True,True
32,8DNM/29.png,8DNM,False,False,False,False,False,False,False,False,False,False,False,False
33,8DNM/30.png,8DNM,False,False,False,False,False,False,False,False,False,False,True,True
34,8DNM/31.png,8DNM,False,False,False,False,False,False,False,False,False,False,False,False
35,8DNM/32.png,8DNM,False,False,False,False,False,False,False,False,False,False,False,False
36,8DNM/33.png,8DNM,False,False,False,False,False,False,False,False,False,False,False,False
37,8DNM/34.png,8DNM,False,False,False,False,False,False,False,False,True,True,True,True
38,8DNM/35.png,8DNM,False,False,False,False,False,False,True,True,True,True,True,True
39,8DNM/36.png,8DNM,False,False,True,True,True,True,True,True,True,True,True,True
40,8DNM/37.png,8DNM,False,False,False,False,False,False,False,False,False,False,False,False
41,8DNM/38.png,8DNM,False,False,False,False,False,False,False,False,False,False,False,False
42,8DNM/39.png,8DNM,False,False,False,False,False,False,False,False,False,False,False,False
43,8DNM/40.png,8DNM,False,False,False,False,False,False,False,False,False,False,False,False
44,8DNM/41.png,8DNM,False,False,False,False,False,False,False,False,False,False,False,False
45,8DNM/42.png,8DNM,False,False,False,False,False,False,False,False,False,False,False,False
46,8DNM/43.png,8DNM,False,False,True,True,True,True,True,True,True,True,True,True
47,8DNM/44.png,8DNM,False,False,False,False,False,False,False,False,False,False,False,False
48,8DNM/45.png,8DNM,False,False,False,False,False,False,False,False,False,False,False,False
49,8DNM/46.png,8DNM,False,False,False,False,False,False,False,False,False,False,False,False
50,8DNM/47.png,8DNM,False,False,False,False,False,False,False,False,False,False,False,False
51,8DNM/48.png,8DNM,False,False,False,False,False,False,False,False,False,False,False,False
