image,protein,exact_predictTop1,countSimilarityTop1,exact_predictTop3,countSimilarityTop3,exact_predictTop5,countSimilarityTop5,exact_predictTop10,countSimilarityTop10,exact_predictTop20,countSimilarityTop20,exact_predictTop50,countSimilarityTop50
1,8DNM,0,False,0,False,0,False,0,False,0,False,0,False
2,8DNM,0,False,0,False,0,False,0,False,0,False,0,False
3,8DNM,0,False,0,False,0,False,0,False,0,False,0,False
4,8DNM,0,False,0,False,0,False,0,False,0,False,0,False
5,8DNM,0,False,0,False,0,False,0,False,0,False,0,False
6,8DNM,0,False,0,False,0,False,0,False,0,False,0,False
8,8DNU,0,False,0,False,0,False,0,False,0,False,0,False
9,8DNU,0,False,0,False,0,False,0,False,0,False,0,False
10,8DNU,0,False,0,False,0,False,0,False,0,False,0,False
11,8DNU,0,False,0,False,0,False,0,False,0,False,0,False
12,8DNU,0,False,0,False,0,False,0,False,0,False,0,False
13,8DNP,0,False,0,False,0,False,0,False,0,True,0,True
14,8DNP,0,False,0,False,0,False,0,True,0,True,0,True
15,8DNP,0,False,0,False,0,False,0,False,0,True,0,True
16,8DNP,0,False,0,False,0,False,0,False,0,True,0,True
17,8DNP,0,False,0,False,0,False,0,True,0,True,0,True
18,8DNO,0,False,0,False,0,False,0,False,0,False,0,False
19,8DNO,0,False,0,False,0,False,0,False,0,False,0,False
20,8DNO,0,False,0,False,0,False,0,False,0,False,1,True
21,8DNO,0,False,0,False,0,False,0,False,0,False,0,False
22,8DNO,0,False,0,False,0,False,0,False,0,False,0,False
23,8DNS,0,False,0,False,0,False,0,False,0,False,0,False
24,8DNS,0,False,0,False,0,False,0,False,0,False,0,False
25,8DNS,0,False,0,False,0,False,0,False,0,False,0,False
26,8DNS,0,False,0,False,0,False,0,False,0,False,0,False
27,8DNS,0,False,0,False,0,False,0,False,0,False,0,False
28,8DNS,0,False,0,False,0,False,0,False,0,False,0,False
29,8DNS,0,False,0,False,0,False,0,False,0,False,0,False
30,8DNS,0,False,0,False,0,False,0,False,0,False,0,False
31,8DNS,0,False,0,False,0,False,0,False,0,False,0,False
32,8DNS,0,False,0,False,0,False,0,False,0,False,0,False
33,8DNS,0,False,0,False,0,False,0,False,0,False,0,False
34,8DNS,0,False,0,False,0,False,0,False,0,False,0,False
