image,ground_truth,best_sim,match_via,hit
1,8DNM,22.85,8G3V,False
2,8DNM,22.85,8G3V,False
3,8DNM,22.85,8G3V,False
4,8DNM,22.85,8G3V,False
5,8DNM,22.85,8G3V,False
6,8DNM,22.95,8WVX,False
7,8DNM,100.00,8DNM,True
8,8DNU,22.16,9O4P,False
9,8DNU,22.16,9O4P,False
10,8DNU,22.16,9O4P,False
11,8DNU,22.16,9O4P,False
12,8DNU,22.16,9O4P,False
13,8DNP,93.99,8HHS,True
14,8DNP,100.00,6M54,True
15,8DNP,100.00,6M54,True
16,8DNP,93.99,8HHS,True
17,8DNP,100.00,6M54,True
18,8DNO,22.34,9C4N,False
19,8DNO,22.34,9C4N,False
20,8DNO,100.00,8DNO,True
21,8DNO,23.51,6Z80,False
22,8DNO,22.34,9C4N,False
23,8DNS,23.31,8SGR,False
24,8DNS,23.31,8SGR,False
25,8DNS,23.31,8SGR,False
26,8DNS,23.31,8SGR,False
27,8DNS,23.31,8SGR,False
28,8DNS,23.31,8SGR,False
29,8DNS,23.31,8SGR,False
30,8DNS,23.31,8SGR,False
31,8DNS,23.31,8SGR,False
32,8DNS,23.31,8SGR,False
33,8DNS,23.31,8SGR,False
34,8DNS,23.31,8SGR,False
