image,ground_truth,best_sim,match_via,hit
7UZM/1.png,7UZM,100.00,7UZM,True
7UZM/2.png,7UZM,100.00,7UZM,True
7UZM/3.png,7UZM,100.00,7UZM,True
8DNM/1.png,8DNM,100.00,8DNM,True
8DNM/2.png,8DNM,100.00,8DNM,True
8DNM/3.png,8DNM,100.00,8DNM,True
8DNM/4.png,8DNM,100.00,8DNM,True
8DNM/5.png,8DNM,100.00,8DNM,True
8DNM/6.png,8DNM,22.47,9OTM,False
8DNM/7.png,8DNM,100.00,8DNM,True
8DNM/8.png,8DNM,100.00,8DNM,True
8DNM/9.png,8DNM,22.47,9OTM,False
8DNM/10.png,8DNM,100.00,8DNM,True
8DNM/11.png,8DNM,100.00,8DNM,True
8DNM/12.png,8DNM,100.00,8DNM,True
8DNM/13.png,8DNM,100.00,8DNM,True
8DNM/14.png,8DNM,100.00,8DNM,True
8DNM/15.png,8DNM,100.00,8DNM,True
8DNM/16.png,8DNM,100.00,8DNM,True
8DNM/17.png,8DNM,100.00,8DNM,True
8DNM/18.png,8DNM,22.77,9QF2,False
8DNM/19.png,8DNM,22.47,9OTM,False
8DNM/20.png,8DNM,22.47,9OTM,False
8DNM/21.png,8DNM,100.00,8DNM,True
8DNM/22.png,8DNM,100.00,8DNM,True
8DNM/23.png,8DNM,100.00,8DNM,True
8DNM/24.png,8DNM,22.47,9OTM,False
8DNM/25.png,8DNM,100.00,8DNM,True
8DNM/26.png,8DNM,22.14,7RLC,False
8DNM/27.png,8DNM,22.43,7BPA,False
8DNM/28.png,8DNM,100.00,8DNM,True
8DNM/29.png,8DNM,22.77,9QF2,False
8DNM/30.png,8DNM,100.00,8DNM,True
8DNM/31.png,8DNM,22.14,7RLC,False
8DNM/32.png,8DNM,22.47,9OTM,False
8DNM/33.png,8DNM,22.14,7RLC,False
8DNM/34.png,8DNM,100.00,8DNM,True
8DNM/35.png,8DNM,100.00,8DNM,True
8DNM/36.png,8DNM,100.00,8DNM,True
8DNM/37.png,8DNM,22.14,7RLC,False
8DNM/38.png,8DNM,23.00,9XYE,False
8DNM/39.png,8DNM,22.14,7RLC,False
8DNM/40.png,8DNM,22.77,9QF2,False
8DNM/41.png,8DNM,22.47,9OTM,False
8DNM/42.png,8DNM,22.20,7UZQ,False
8DNM/43.png,8DNM,100.00,8DNM,True
8DNM/44.png,8DNM,22.14,7RLC,False
8DNM/45.png,8DNM,22.20,7UZQ,False
8DNM/46.png,8DNM,22.47,9OTM,False
8DNM/47.png,8DNM,22.47,9OTM,False
8DNM/48.png,8DNM,22.20,7UZQ,False
8DNM/49.png,8DNM,22.47,9OTM,False
8DNM/50.png,8DNM,22.14,7RLC,False
8DNM/51.png,8DNM,100.00,8DNM,True
8DNM/52.png,8DNM,100.00,8DNM,True
8DNM/53.png,8DNM,22.47,9OTM,False
8DNO/1.png,8DNO,99.80,8D46,True
8DNO/2.png,8DNO,99.80,8D46,True
8DNO/3.png,8DNO,99.80,8D46,True
8DNO/4.png,8DNO,100.00,8DNO,True
8DNO/5.png,8DNO,99.80,8D46,True
8DNO/6.png,8DNO,100.00,8DNO,True
8DNO/7.png,8DNO,99.80,8D46,True
8DNO/8.png,8DNO,100.00,8DNO,True
8DNO/9.png,8DNO,99.80,8D46,True
8DNO/10.png,8DNO,100.00,8DNO,True
8DNO/11.png,8DNO,100.00,8DNO,True
8DNO/12.png,8DNO,99.80,8D46,True
8DNO/13.png,8DNO,99.80,8D46,True
8DNO/14.png,8DNO,100.00,8DNO,True
8DNO/15.png,8DNO,100.00,8DNO,True
8DNO/16.png,8DNO,100.00,8DNO,True
8DNP/1.png,8DNP,21.18,7D61,False
8DNP/2.png,8DNP,20.71,9WFF,False
8DNP/3.png,8DNP,21.12,9OTM,False
8DNP/4.png,8DNP,20.71,9WFF,False
8DNP/5.png,8DNP,20.71,9WFF,False
8DNP/6.png,8DNP,20.71,9WFF,False
8DNP/7.png,8DNP,20.71,9WFF,False
8DNP/8.png,8DNP,21.12,9OTM,False
8DNP/9.png,8DNP,20.71,9WFF,False
8DNP/10.png,8DNP,20.71,9WFF,False
8DNP/11.png,8DNP,20.71,9WFF,False
8DNP/12.png,8DNP,20.71,9WFF,False
8DNP/13.png,8DNP,21.18,7D61,False
8DNP/14.png,8DNP,20.71,9WFF,False
8DNP/15.png,8DNP,21.12,9OTM,False
8DNP/16.png,8DNP,20.71,9WFF,False
8DNP/17.png,8DNP,20.71,9WFF,False
8DNP/18.png,8DNP,20.71,9WFF,False
8DNP/19.png,8DNP,20.71,9WFF,False
8DNP/20.png,8DNP,21.12,9OTM,False
8DNP/21.png,8DNP,20.71,9WFF,False
8DNP/22.png,8DNP,20.71,9WFF,False
8DNP/23.png,8DNP,20.71,9WFF,False
8DNP/24.png,8DNP,20.71,9WFF,False
8DNS/1.png,8DNS,22.22,7UZM,False
8DNS/2.png,8DNS,23.60,8DNM,False
8DNS/3.png,8DNS,23.37,8G8F,False
8DNS/4.png,8DNS,23.37,8G8F,False
8DNS/5.png,8DNS,23.37,6U8N,False
8DNS/6.png,8DNS,23.37,8G8F,False
8DNS/7.png,8DNS,100.00,8DNS,True
8DNS/8.png,8DNS,22.22,7UZM,False
8DNS/9.png,8DNS,100.00,8DNS,True
8DNS/10.png,8DNS,21.55,9Y9P,False
8DNS/11.png,8DNS,21.66,9ES4,False
8DNS/12.png,8DNS,23.60,8DNM,False
8DNU/1.png,8DNU,100.00,9OTO,True
8DNU/2.png,8DNU,100.00,9OTO,True
8DNU/3.png,8DNU,100.00,9OTO,True
8DNU/4.png,8DNU,100.00,9OTO,True
8DNU/5.png,8DNU,100.00,9OTM,True
8DNU/6.png,8DNU,100.00,9OTO,True
8DNU/7.png,8DNU,100.00,9OTO,True
8DNU/8.png,8DNU,21.66,9JK6,False
8DNU/9.png,8DNU,100.00,9OTO,True
8DNU/10.png,8DNU,100.00,9OTM,True
8DNU/11.png,8DNU,100.00,9OTO,True
8DNU/12.png,8DNU,100.00,9OTM,True
8EM2/1.png,8EM2,23.43,9DUO,False
8EM2/2.png,8EM2,23.37,8W4J,False
8EM2/3.png,8EM2,22.83,7UWF,False
8EM2/4.png,8EM2,23.37,8W4J,False
8EM2/5.png,8EM2,22.60,8TUL,False
8EM2/6.png,8EM2,22.60,8TUL,False
8EM2/7.png,8EM2,23.43,9DUO,False
8EM2/8.png,8EM2,23.48,8QCY,False
8EM2/9.png,8EM2,22.94,8PVY,False
8EM2/10.png,8EM2,23.43,9DUO,False
8EM2/11.png,8EM2,22.60,8TUL,False
8EM2/12.png,8EM2,23.73,7UWF,False
8EM2/13.png,8EM2,23.43,9DUO,False
8EM2/14.png,8EM2,22.60,8TUL,False
8EM2/15.png,8EM2,22.90,6WPK,False
8EM2/16.png,8EM2,23.43,9DUO,False
8EM2/17.png,8EM2,22.94,8PVY,False
8EM2/18.png,8EM2,23.43,9DUO,False
8EMS/1.png,8EMS,22.99,7WTA,False
8EMS/2.png,8EMS,22.68,8PVY,False
8EMS/3.png,8EMS,22.99,7WTE,False
8EMS/4.png,8EMS,22.59,9D5S,False
8EMS/5.png,8EMS,22.99,7WTA,False
8EMS/6.png,8EMS,22.95,7PLU,False
8EMS/7.png,8EMS,22.99,7WTE,False
8EMS/8.png,8EMS,22.99,7WTE,False
8EMS/9.png,8EMS,22.68,8PVY,False
8EMS/10.png,8EMS,22.68,8PVY,False
8EMS/11.png,8EMS,22.59,9D5S,False
8EMS/12.png,8EMS,22.68,8PVY,False
8EMS/13.png,8EMS,22.99,7WTA,False
8EMS/14.png,8EMS,22.68,8PVY,False
8EMS/15.png,8EMS,22.68,8PVY,False
8EMS/16.png,8EMS,22.99,7WTE,False
8EMS/17.png,8EMS,22.68,8PVY,False
8EMS/18.png,8EMS,22.68,8PVY,False
8EMS/19.png,8EMS,22.59,9D5S,False
8EMS/20.png,8EMS,22.68,8PVY,False
8EMS/21.png,8EMS,22.68,8PVY,False
8EMS/22.png,8EMS,22.99,7WTE,False
8EMS/23.png,8EMS,22.59,9D5S,False
8EMS/24.png,8EMS,22.68,8PVY,False
8EMS/25.png,8EMS,22.68,7SOX,False
8EMS/26.png,8EMS,22.99,7WTA,False
8EMS/27.png,8EMS,22.68,8PVY,False
8EMS/28.png,8EMS,22.68,8PVY,False
8EMS/29.png,8EMS,22.95,7PLU,False
8EMT/1.png,8EMT,22.93,7VCV,False
8EMT/2.png,8EMT,22.93,7VCV,False
8EMT/3.png,8EMT,23.00,8RS9,False
8EMT/4.png,8EMT,22.93,7VCV,False
8EMT/5.png,8EMT,100.00,8EMT,True
8EMT/6.png,8EMT,23.00,8RS9,False
8EMT/7.png,8EMT,23.00,8RS9,False
8EMT/8.png,8EMT,23.00,8RS9,False
8EMT/9.png,8EMT,23.00,8RS9,False
8EMT/10.png,8EMT,22.93,7VCV,False
8EMT/11.png,8EMT,23.00,8RS9,False
8ENE/1.png,8ENE,100.00,8D46,True
8ENE/2.png,8ENE,22.75,6NBD,False
8ENE/3.png,8ENE,100.00,8D46,True
8ENE/4.png,8ENE,100.00,8D46,True
8ENE/5.png,8ENE,100.00,8D46,True
8ENE/6.png,8ENE,100.00,8D46,True
8ENE/7.png,8ENE,100.00,8D46,True
8ENE/8.png,8ENE,100.00,8D46,True
8ENE/9.png,8ENE,100.00,8D46,True
8ENE/10.png,8ENE,100.00,8D46,True
8ENE/11.png,8ENE,100.00,8D46,True
8ENE/12.png,8ENE,100.00,8D46,True
8ENE/13.png,8ENE,100.00,8D46,True
8ENE/14.png,8ENE,100.00,8D46,True
8ENE/15.png,8ENE,100.00,8D46,True
8ENE/16.png,8ENE,22.75,6NBD,False
8ENE/17.png,8ENE,100.00,8D46,True
8ENE/18.png,8ENE,100.00,8D46,True
8ENE/19.png,8ENE,100.00,8D46,True
8ENE/20.png,8ENE,100.00,8D46,True
8EOJ/1.png,8EOJ,23.11,8OJL,False
8EOJ/2.png,8EOJ,23.11,8OJL,False
8EOJ/3.png,8EOJ,23.11,8OJL,False
8EOJ/4.png,8EOJ,22.74,7ZGU,False
8EOJ/5.png,8EOJ,23.11,8OJL,False
8EOJ/6.png,8EOJ,22.74,7ZGU,False
8EOJ/7.png,8EOJ,22.81,5FTM,False
8EOJ/8.png,8EOJ,23.11,8OJL,False
8EOJ/9.png,8EOJ,23.11,8OJL,False
8EOJ/10.png,8EOJ,22.67,9Q7O,False
8EOJ/11.png,8EOJ,23.11,8OJL,False
8EOJ/12.png,8EOJ,23.11,8OJL,False
8EOJ/13.png,8EOJ,23.11,8OJL,False
8EOJ/14.png,8EOJ,23.11,8OJL,False
8EOJ/15.png,8EOJ,23.11,8OJL,False
